nodes,arrival_rate,collision_rate,delay,queue_variance,throughput_value,protocol_name,optimal_protocol_id
40,20,0.0,0.012186267305119462,2.4541211518063974,0.0,SlottedAlohaProtocol,2.0
40,20,0.0,0.06632473381634924,2.2275273381209884,0.0,SlottedAlohaProtocol,2.0
40,20,0.002824858757062147,0.011775560373487341,2.7385095115052516,0.0,SlottedAlohaProtocol,2.0
40,20,0.00315955766192733,0.09096853743022203,4.907711965616865,39.0,CSMACaProtocol,2.0
40,20,0.0,0.059132889403676885,0.9926522367111803,39.0,CSMACaProtocol,2.0
40,20,0.002890173410404624,0.057598024505230654,0.617407049463149,0.0,CSMACaProtocol,2.0
50,1,12.454545454545455,0.05076803663361229,4.065536890335435,919.0,SlottedAlohaProtocol,2.0
50,1,9.121951219512194,0.07435977756868198,2.699567702480084,596.0,SlottedAlohaProtocol,2.0
50,1,12.482142857142858,0.08187134629304291,4.601147368771967,914.0,SlottedAlohaProtocol,2.0
50,1,1.225,0.05885281663298126,4.690910320613376,1862.0,CSMACaProtocol,2.0
50,1,0.0,0.019618996112340383,2.8146121297486215,1372.0,CSMACaProtocol,2.0
50,1,3.769230769230769,0.09526473144658512,1.5550117255653082,1568.0,CSMACaProtocol,2.0
50,5,2.3660714285714284,0.0985613623406421,1.043742248530334,5.0,SlottedAlohaProtocol,2.0
50,5,2.263157894736842,0.09398114426838881,1.6179192292269602,106.0,SlottedAlohaProtocol,2.0
50,5,2.4420600858369097,0.08758777946966191,3.364045643511548,135.0,SlottedAlohaProtocol,2.0
50,5,1.1057692307692308,0.07684273261811324,2.5055955682149254,345.0,CSMACaProtocol,2.0
50,5,0.722488038277512,0.030526885962379798,1.9014964072430225,491.0,CSMACaProtocol,2.0
50,5,0.774468085106383,0.03641226500327184,3.317358096360197,735.0,CSMACaProtocol,2.0
50,10,0.39643652561247217,0.07578273427615492,1.6213749801517612,0.0,SlottedAlohaProtocol,2.0
50,10,0.3646788990825688,0.05535517967746108,2.878166732232892,2.0,SlottedAlohaProtocol,2.0
50,10,0.03958333333333333,0.04476912594574499,1.8255269746056977,0.0,SlottedAlohaProtocol,2.0
50,10,0.25943396226415094,0.06040855017949006,2.4915276838573384,148.0,CSMACaProtocol,2.0
50,10,0.15777262180974477,0.015372031335179882,0.5339080531610703,245.0,CSMACaProtocol,2.0
50,10,0.0072992700729927005,0.03312678294169183,2.597970002823769,98.0,CSMACaProtocol,2.0
50,15,0.004694835680751174,0.05099723222493785,2.659744726792076,0.0,SlottedAlohaProtocol,2.0
50,15,0.007716049382716049,0.04519139431333607,2.8392567676227696,0.0,SlottedAlohaProtocol,2.0
50,15,0.0028694404591104736,0.07087367991776489,3.711348404124073,0.0,SlottedAlohaProtocol,2.0
50,15,0.007763975155279503,0.07308109630907628,2.4661886536926176,0.0,CSMACaProtocol,2.0
50,15,0.009478672985781991,0.02683641057998376,3.022908319536029,49.0,CSMACaProtocol,2.0
50,15,0.001314060446780552,0.0700526609899851,2.3809334181506747,98.0,CSMACaProtocol,2.0
50,20,0.0,0.06922854157986626,3.252829687009398,0.0,SlottedAlohaProtocol,2.0
50,20,0.0,0.07952589138405296,0.5953976306033966,0.0,SlottedAlohaProtocol,2.0
50,20,0.0,0.06325894861846873,3.5593694738395585,0.0,SlottedAlohaProtocol,2.0
50,20,0.00903954802259887,0.04884972642442469,2.16140030231587,0.0,CSMACaProtocol,2.0
50,20,0.0018726591760299626,0.09407194403578802,4.748526609200931,98.0,CSMACaProtocol,2.0
50,20,0.0011961722488038277,0.01896774608998082,2.918651331435431,49.0,CSMACaProtocol,2.0
